lat,lon,type,line_id,weight
50.3646255,30.5498065,other,,1.0
50.3816069,30.5526164,other,,1.0
50.4010158,30.5619525,other,,1.0
50.3201894,30.5644949,other,,1.0
50.319668,30.5645294,other,,1.0
50.2855142,30.5992221,other,,1.0
50.2855142,30.5992221,other,,1.0
50.2703898,30.6127166,other,,1.0
50.2701052,30.6127675,other,,1.0
50.2610415,30.6191475,other,,1.0
50.2610415,30.6191475,other,,1.0
50.2522074,30.6254466,other,,1.0
50.2457686,30.6297446,other,,1.0
50.2412386,30.6324321,other,,1.0
50.2417074,30.6334909,other,,1.0
50.2358155,30.6355749,other,,1.0
50.2358155,30.6355749,other,,1.0
50.3004709,30.5779746,other,,1.0
50.3008331,30.5776012,other,,1.0
50.2459834,30.629942,other,,1.0
50.2521528,30.6258585,other,,1.0
50.3079238,30.5723037,other,,1.0
50.2257955,30.6438954,other,,1.0
50.2946865,30.5835263,other,,1.0
50.2946865,30.5835263,other,,1.0
50.3091407,30.5715884,other,,1.0
50.2958583,30.5823663,other,,1.0
50.2262473,30.6436792,other,,1.0
50.3723896,30.5444262,other,,1.0
50.3705843,30.5408906,other,,1.0
50.3701211,30.5350506,other,,1.0
50.3701231,30.5302702,other,,1.0
50.3697014,30.5275359,other,,1.0
50.3697014,30.5275359,other,,1.0
50.3691899,30.5232495,other,,1.0
50.3694958,30.5182817,other,,1.0
50.3709113,30.5169271,other,,1.0
50.3722928,30.5185333,other,,1.0
50.3722928,30.5185333,other,,1.0
50.3713356,30.5175211,other,,1.0
50.3693032,30.5194125,other,,1.0
50.3692067,30.5220684,other,,1.0
50.3702455,30.5301128,other,,1.0
50.3702505,30.5340192,other,,1.0
50.3705493,30.5416942,other,,1.0
50.4029894,30.5669745,other,,1.0
50.4026054,30.5694591,other,,1.0
50.4017561,30.5634628,other,,1.0
50.3903964,30.5653781,other,,1.0
50.3862727,30.5724333,other,,1.0
50.388937,30.573426,other,,1.0
50.3862727,30.5724333,other,,1.0
50.390256,30.5647784,other,,1.0
50.3969199,30.5597026,other,,1.0
50.3969199,30.5597026,other,,1.0
50.4008947,30.5620295,other,,1.0
50.3717929,30.4574618,other,,1.0
50.3753406,30.452361,other,,1.0
50.3799499,30.4458975,other,,1.0
50.3799499,30.4458975,other,,1.0
50.3710919,30.4567844,other,,1.0
50.3738393,30.453036,other,,1.0
50.403797,30.534108,other,,1.0
50.403797,30.534108,other,,1.0
50.4049031,30.5287327,other,,1.0
50.4049031,30.5287327,other,,1.0
50.370662,30.5498645,other,,1.0
50.3691296,30.5523935,other,,1.0
50.3660263,30.5559305,other,,1.0
50.367286,30.5537875,other,,1.0
50.3638327,30.5592225,other,,1.0
50.3611927,30.5582079,other,,1.0
50.4044997,30.518138,other,,1.0
50.4071773,30.5211209,other,,1.0
50.3698268,30.4578746,other,,1.0
50.3811046,30.5334947,other,,1.0
50.3855579,30.5312706,other,,1.0
50.3900635198,30.5296003053,other,,1.0
50.3931353,30.5309856,other,,1.0
50.398352,30.5305868,other,,1.0
50.4069885,30.5205281,other,,1.0
50.4059058,30.5220744,other,,1.0
50.4128146,30.5243784,other,,1.0
50.4051378,30.5226762,other,,1.0
50.3992982,30.5294033,other,,1.0
50.3929724,30.5305987,other,,1.0
50.3904082,30.5290583,other,,1.0
50.3854917,30.5302698,other,,1.0
50.3835653,30.5317328,other,,1.0
50.378939,30.5346481,other,,1.0
50.3616102,30.4441167,other,,1.0
50.3644548,30.4496839,other,,1.0
50.3686017,30.4558143,other,,1.0
50.3737795,30.4646077,other,,1.0
50.3787297,30.4719812,other,,1.0
50.3813405,30.4779399,other,,1.0
50.3831079,30.4826645,other,,1.0
50.3845126,30.48562,other,,1.0
50.3863774,30.4903606,other,,1.0
50.3882762,30.4952384,other,,1.0
50.3900949,30.5010192,other,,1.0
50.3922727,30.5050087,other,,1.0
50.3974405,30.5102033,other,,1.0
50.3988248,30.5116327,other,,1.0
50.4021932,30.5153484,other,,1.0
50.4115891,30.5251723,other,,1.0
50.4017973,30.5150083,other,,1.0
50.3969873,30.5092083,other,,1.0
50.3922988,30.5050211,other,,1.0
50.3907133,30.5006974,other,,1.0
50.3884064,30.4952765,other,,1.0
50.3864142,30.490185,other,,1.0
50.3842663,30.4846126,other,,1.0
50.3831215,30.4815869,other,,1.0
50.3809788,30.4762077,other,,1.0
50.3816634,30.4775764,other,,1.0
50.3783554,30.4702399,other,,1.0
50.3739079,30.4632784,other,,1.0
